Supply_Source Port_0_0_0
Supply_Net Port_0_0_0 Scope_1_0/Port_1_0_0 Scope_1_0/Scope_2_0/Port_2_0_0 Scope_1_0/Scope_2_1/Port_2_1_0 Scope_1_1/Port_1_1_0 Scope_1_1/Scope_2_0/Port_2_0_0 Scope_1_1/Scope_2_1/Port_2_1_0 
Supply_Port Port_0_0_0 Scope_1_0/Port_1_0_0 Scope_1_0/Scope_2_0/Port_2_0_0 Scope_1_0/Scope_2_1/Port_2_1_0 Scope_1_1/Port_1_1_0 Scope_1_1/Scope_2_0/Port_2_0_0 Scope_1_1/Scope_2_1/Port_2_1_0 
Supply_Source Port_0_0_1
Supply_Net Port_0_0_1 Scope_1_0/Port_1_0_1 Scope_1_0/Scope_2_0/Port_2_0_1 Scope_1_0/Scope_2_1/Port_2_1_1 Scope_1_1/Port_1_1_1 Scope_1_1/Scope_2_0/Port_2_0_1 Scope_1_1/Scope_2_1/Port_2_1_1 
Supply_Port Port_0_0_1 Scope_1_0/Port_1_0_1 Scope_1_0/Scope_2_0/Port_2_0_1 Scope_1_0/Scope_2_1/Port_2_1_1 Scope_1_1/Port_1_1_1 Scope_1_1/Scope_2_0/Port_2_0_1 Scope_1_1/Scope_2_1/Port_2_1_1 
Supply_Source Port_0_0_2
Supply_Net Port_0_0_2 Scope_1_0/Port_1_0_2 Scope_1_0/Scope_2_0/Port_2_0_2 Scope_1_0/Scope_2_1/Port_2_1_2 Scope_1_1/Port_1_1_2 Scope_1_1/Scope_2_0/Port_2_0_2 Scope_1_1/Scope_2_1/Port_2_1_2 
Supply_Port Port_0_0_2 Scope_1_0/Port_1_0_2 Scope_1_0/Scope_2_0/Port_2_0_2 Scope_1_0/Scope_2_1/Port_2_1_2 Scope_1_1/Port_1_1_2 Scope_1_1/Scope_2_0/Port_2_0_2 Scope_1_1/Scope_2_1/Port_2_1_2 
Supply_Source Port_0_0_3
Supply_Net Port_0_0_3 Scope_1_0/Port_1_0_3 Scope_1_0/Scope_2_0/Port_2_0_3 Scope_1_0/Scope_2_1/Port_2_1_3 Scope_1_1/Port_1_1_3 Scope_1_1/Scope_2_0/Port_2_0_3 Scope_1_1/Scope_2_1/Port_2_1_3 
