Supply_Source A_P1
Supply_Net A_N1 B/B_N1 C/C_N1 
Supply_Port A_P1 B/B_P1 C/C_P1 
Supply_Source A_P2
Supply_Net A_N2 B/B_N2 C/C_N2 
Supply_Port A_P2 B/B_P2 C/C_P2 
Supply_Source A_P3
Supply_Net A_N3 B/B_N3 C/C_N3 
Supply_Port A_P3 B/B_P3 C/C_P3 
Supply_Source A_P4
Supply_Net A_N4 B/B_N4 C/C_N4 
Supply_Port A_P4 B/B_P4 C/C_P4 
Supply_Source A_P5
Supply_Net A_N5 B/B_N5 C/C_N5 
Supply_Port A_P5 B/B_P5 C/C_P5 
Supply_Source A_P6
Supply_Net A_N6 B/B_N6 C/C_N6 
Supply_Port A_P6 B/B_P6 C/C_P6 
Supply_Source A_P7
Supply_Net A_N7 B/B_N7 C/C_N7 
Supply_Port A_P7 B/B_P7 C/C_P7 
Supply_Source A_P8
Supply_Net A_N8 B/B_N8 C/C_N8 
Supply_Port A_P8 B/B_P8 C/C_P8 
Supply_Source A_P9
Supply_Net A_N9 B/B_N9 C/C_N9 
Supply_Port A_P9 B/B_P9 C/C_P9 
Supply_Source A_P10
Supply_Net A_N10 B/B_N10 C/C_N10 
Supply_Port A_P10 B/B_P10 C/C_P10 
Supply_Source A_P11
Supply_Net A_N11 B/B_N11 C/C_N11 
Supply_Port A_P11 B/B_P11 C/C_P11 
Supply_Source A_P12
Supply_Net A_N12 B/B_N12 C/C_N12 
Supply_Port A_P12 B/B_P12 C/C_P12 
Supply_Source A_P13
Supply_Net A_N13 B/B_N13 C/C_N13 
Supply_Port A_P13 B/B_P13 C/C_P13 
Supply_Source A_P14
Supply_Net A_N14 B/B_N14 C/C_N14 
Supply_Port A_P14 B/B_P14 C/C_P14 
Supply_Source A_P15
Supply_Net A_N15 B/B_N15 C/C_N15 
Supply_Port A_P15 B/B_P15 C/C_P15 
Supply_Source A_P16
Supply_Net A_N16 B/B_N16 C/C_N16 
Supply_Port A_P16 B/B_P16 C/C_P16 
Supply_Source A_P17
Supply_Net A_N17 B/B_N17 C/C_N17 
Supply_Port A_P17 B/B_P17 C/C_P17 
Supply_Source A_P18
Supply_Net A_N18 B/B_N18 C/C_N18 
Supply_Port A_P18 B/B_P18 C/C_P18 
Supply_Source A_P19
Supply_Net A_N19 B/B_N19 C/C_N19 
Supply_Port A_P19 B/B_P19 C/C_P19 
Supply_Source A_P20
Supply_Net A_N20 B/B_N20 C/C_N20 
Supply_Port A_P20 B/B_P20 C/C_P20 
