Supply_Source A_P1
Supply_Net A_N1 A2A/A2A_N1 A2A/A2AA/A2AA_N1 A2A/A2AB/A2AB_N1 A2A/A2AC/A2AC_N1 A2B/A2B_N1 A2B/A2BA/A2BA_N1 A2B/A2BB/A2BB_N1 A2B/A2BC/A2BC_N1 A2C/A2C_N1 A2C/A2CA/A2CA_N1 A2C/A2CB/A2CB_N1 A2C/A2CC/A2CC_N1 
Supply_Port A_P1 A2A/A2A_P1 A2A/A2AA/A2AA_P1 A2A/A2AB/A2AB_P1 A2A/A2AC/A2AC_P1 A2B/A2B_P1 A2B/A2BA/A2BA_P1 A2B/A2BB/A2BB_P1 A2B/A2BC/A2BC_P1 A2C/A2C_P1 A2C/A2CA/A2CA_P1 A2C/A2CB/A2CB_P1 A2C/A2CC/A2CC_P1 
Supply_Source A_P2
Supply_Net A_N2 A2A/A2A_N2 A2A/A2AA/A2AA_N2 A2A/A2AB/A2AB_N2 A2A/A2AC/A2AC_N2 A2B/A2B_N2 A2B/A2BA/A2BA_N2 A2B/A2BB/A2BB_N2 A2B/A2BC/A2BC_N2 A2C/A2C_N2 A2C/A2CA/A2CA_N2 A2C/A2CB/A2CB_N2 A2C/A2CC/A2CC_N2 
Supply_Port A_P2 A2A/A2A_P2 A2A/A2AA/A2AA_P2 A2A/A2AB/A2AB_P2 A2A/A2AC/A2AC_P2 A2B/A2B_P2 A2B/A2BA/A2BA_P2 A2B/A2BB/A2BB_P2 A2B/A2BC/A2BC_P2 A2C/A2C_P2 A2C/A2CA/A2CA_P2 A2C/A2CB/A2CB_P2 A2C/A2CC/A2CC_P2 
Supply_Source A_P3
Supply_Net A_N3 A2A/A2A_N3 A2A/A2AA/A2AA_N3 A2A/A2AB/A2AB_N3 A2A/A2AC/A2AC_N3 A2B/A2B_N3 A2B/A2BA/A2BA_N3 A2B/A2BB/A2BB_N3 A2B/A2BC/A2BC_N3 A2C/A2C_N3 A2C/A2CA/A2CA_N3 A2C/A2CB/A2CB_N3 A2C/A2CC/A2CC_N3 
Supply_Port A_P3 A2A/A2A_P3 A2A/A2AA/A2AA_P3 A2A/A2AB/A2AB_P3 A2A/A2AC/A2AC_P3 A2B/A2B_P3 A2B/A2BA/A2BA_P3 A2B/A2BB/A2BB_P3 A2B/A2BC/A2BC_P3 A2C/A2C_P3 A2C/A2CA/A2CA_P3 A2C/A2CB/A2CB_P3 A2C/A2CC/A2CC_P3 
Supply_Source A_P4
Supply_Net A_N4 A2A/A2A_N4 A2A/A2AA/A2AA_N4 A2A/A2AB/A2AB_N4 A2A/A2AC/A2AC_N4 A2B/A2B_N4 A2B/A2BA/A2BA_N4 A2B/A2BB/A2BB_N4 A2B/A2BC/A2BC_N4 A2C/A2C_N4 A2C/A2CA/A2CA_N4 A2C/A2CB/A2CB_N4 A2C/A2CC/A2CC_N4 
Supply_Port A_P4 A2A/A2A_P4 A2A/A2AA/A2AA_P4 A2A/A2AB/A2AB_P4 A2A/A2AC/A2AC_P4 A2B/A2B_P4 A2B/A2BA/A2BA_P4 A2B/A2BB/A2BB_P4 A2B/A2BC/A2BC_P4 A2C/A2C_P4 A2C/A2CA/A2CA_P4 A2C/A2CB/A2CB_P4 A2C/A2CC/A2CC_P4 
Supply_Source A_P5
Supply_Net A_N5 A2A/A2A_N5 A2A/A2AA/A2AA_N5 A2A/A2AB/A2AB_N5 A2A/A2AC/A2AC_N5 A2B/A2B_N5 A2B/A2BA/A2BA_N5 A2B/A2BB/A2BB_N5 A2B/A2BC/A2BC_N5 A2C/A2C_N5 A2C/A2CA/A2CA_N5 A2C/A2CB/A2CB_N5 A2C/A2CC/A2CC_N5 
Supply_Port A_P5 A2A/A2A_P5 A2A/A2AA/A2AA_P5 A2A/A2AB/A2AB_P5 A2A/A2AC/A2AC_P5 A2B/A2B_P5 A2B/A2BA/A2BA_P5 A2B/A2BB/A2BB_P5 A2B/A2BC/A2BC_P5 A2C/A2C_P5 A2C/A2CA/A2CA_P5 A2C/A2CB/A2CB_P5 A2C/A2CC/A2CC_P5 
Supply_Source A_P6
Supply_Net A_N6 A2A/A2A_N6 A2A/A2AA/A2AA_N6 A2A/A2AB/A2AB_N6 A2A/A2AC/A2AC_N6 A2B/A2B_N6 A2B/A2BA/A2BA_N6 A2B/A2BB/A2BB_N6 A2B/A2BC/A2BC_N6 A2C/A2C_N6 A2C/A2CA/A2CA_N6 A2C/A2CB/A2CB_N6 A2C/A2CC/A2CC_N6 
Supply_Port A_P6 A2A/A2A_P6 A2A/A2AA/A2AA_P6 A2A/A2AB/A2AB_P6 A2A/A2AC/A2AC_P6 A2B/A2B_P6 A2B/A2BA/A2BA_P6 A2B/A2BB/A2BB_P6 A2B/A2BC/A2BC_P6 A2C/A2C_P6 A2C/A2CA/A2CA_P6 A2C/A2CB/A2CB_P6 A2C/A2CC/A2CC_P6 
